947|947|2021-11-20-09:43:30.8067980-05:00
1487|1487|2021-11-20-09:43:30.8203207-05:00
783|783|2021-11-20-09:43:30.8203599-05:00
213|213|2021-11-20-09:43:30.8203808-05:00
395|395|2021-11-20-09:43:30.8203972-05:00
187|187|2021-11-20-09:43:30.8204124-05:00
921|921|2021-11-20-09:43:30.8204276-05:00
947|947|2021-11-20-09:43:30.8204442-05:00
769|769|2021-11-20-09:43:30.8204613-05:00
595|595|2021-11-20-09:43:30.8204767-05:00
929|929|2021-11-20-09:43:30.8204919-05:00
781|781|2021-11-20-09:43:30.8205073-05:00
929|929|2021-11-20-09:43:30.8205224-05:00
929|929|2021-11-20-09:43:30.8205376-05:00
947|947|2021-11-20-09:43:30.8205528-05:00
97|97|2021-11-20-09:43:30.8205680-05:00
1025|1025|2021-11-20-09:43:30.8205835-05:00
107|107|2021-11-20-09:43:30.8205989-05:00
566|566|2021-11-20-09:43:30.8206142-05:00
198|198|2021-11-20-09:43:30.8206295-05:00
1061|1061|2021-11-20-09:43:30.8206449-05:00
976|976|2021-11-20-09:43:30.8206602-05:00
1061|1061|2021-11-20-09:43:30.8206763-05:00
40|40|2021-11-20-09:43:30.8206918-05:00
1025|1025|2021-11-20-09:43:30.8207083-05:00
202|202|2021-11-20-09:43:30.8207239-05:00
114|114|2021-11-20-09:43:30.8207394-05:00
344|344|2021-11-20-09:43:30.8207549-05:00
884|884|2021-11-20-09:43:30.8207708-05:00
1025|1025|2021-11-20-09:43:30.8207863-05:00
1025|1025|2021-11-20-09:43:30.8208018-05:00
248|248|2021-11-20-09:43:30.8208484-05:00
428|428|2021-11-20-09:43:30.8208761-05:00
976|976|2021-11-20-09:43:30.8208925-05:00
1025|1025|2021-11-20-09:43:30.8209087-05:00
1061|1061|2021-11-20-09:43:30.8209242-05:00
731|731|2021-11-20-09:43:30.8209397-05:00
1061|1061|2021-11-20-09:43:30.8209554-05:00
872|872|2021-11-20-09:43:30.8209709-05:00
786|786|2021-11-20-09:43:30.8209866-05:00
535|535|2021-11-20-09:43:30.8210049-05:00
976|976|2021-11-20-09:43:30.8210233-05:00
976|976|2021-11-20-09:43:30.8210411-05:00
912|912|2021-11-20-09:43:30.8210586-05:00
788|788|2021-11-20-09:43:30.8210760-05:00
580|580|2021-11-20-09:43:30.8210932-05:00
947|947|2021-11-20-09:43:30.8211104-05:00
976|976|2021-11-20-09:43:30.8211274-05:00
949|949|2021-11-20-09:43:30.8211432-05:00
136|136|2021-11-20-09:43:30.8211590-05:00
947|947|2021-11-20-09:43:30.8211785-05:00
947|947|2021-11-20-09:43:30.8212061-05:00
227|227|2021-11-20-09:43:30.8212229-05:00
947|947|2021-11-20-09:43:30.8212390-05:00
139|139|2021-11-20-09:43:30.8212549-05:00
228|228|2021-11-20-09:43:30.8212712-05:00
325|325|2021-11-20-09:43:30.8212871-05:00
925|925|2021-11-20-09:43:30.8213029-05:00
925|925|2021-11-20-09:43:30.8213189-05:00
925|925|2021-11-20-09:43:30.8213349-05:00
250|250|2021-11-20-09:43:30.8213508-05:00
921|921|2021-11-20-09:43:30.8213756-05:00
921|921|2021-11-20-09:43:30.8213954-05:00
34|34|2021-11-20-09:43:30.8214131-05:00
921|921|2021-11-20-09:43:30.8214309-05:00
921|921|2021-11-20-09:43:30.8214471-05:00
82|82|2021-11-20-09:43:30.8214642-05:00
912|912|2021-11-20-09:43:30.8214813-05:00
98|98|2021-11-20-09:43:30.8214976-05:00
912|912|2021-11-20-09:43:30.8215247-05:00
744|744|2021-11-20-09:43:30.8215436-05:00
574|574|2021-11-20-09:43:30.8215619-05:00
780|780|2021-11-20-09:43:30.8215801-05:00
912|912|2021-11-20-09:43:30.8216060-05:00
317|317|2021-11-20-09:43:30.8216321-05:00
921|921|2021-11-20-09:43:30.8216504-05:00
921|921|2021-11-20-09:43:30.8216848-05:00
182|182|2021-11-20-09:43:30.8217020-05:00
921|921|2021-11-20-09:43:30.8217280-05:00
893|893|2021-11-20-09:43:30.8217550-05:00
459|459|2021-11-20-09:43:30.8217724-05:00
74|74|2021-11-20-09:43:30.8217986-05:00
917|917|2021-11-20-09:43:30.8218164-05:00
586|586|2021-11-20-09:43:30.8218373-05:00
807|807|2021-11-20-09:43:30.8218695-05:00
367|367|2021-11-20-09:43:30.8218868-05:00
44|44|2021-11-20-09:43:30.8219209-05:00
917|917|2021-11-20-09:43:30.8219383-05:00
917|917|2021-11-20-09:43:30.8219739-05:00
917|917|2021-11-20-09:43:30.8219913-05:00
627|627|2021-11-20-09:43:30.8220360-05:00
425|425|2021-11-20-09:43:30.8220548-05:00
316|316|2021-11-20-09:43:30.8220816-05:00
912|912|2021-11-20-09:43:30.8220991-05:00
173|173|2021-11-20-09:43:30.8221160-05:00
912|912|2021-11-20-09:43:30.8221562-05:00
917|917|2021-11-20-09:43:30.8221923-05:00
582|582|2021-11-20-09:43:30.8222192-05:00
917|917|2021-11-20-09:43:30.8222373-05:00
917|917|2021-11-20-09:43:30.8222645-05:00
921|921|2021-11-20-09:43:30.8222907-05:00
328|328|2021-11-20-09:43:30.8223172-05:00
922|922|2021-11-20-09:43:30.8223435-05:00
873|873|2021-11-20-09:43:30.8223698-05:00
132|132|2021-11-20-09:43:30.8223958-05:00
668|668|2021-11-20-09:43:30.8224218-05:00
921|921|2021-11-20-09:43:30.8224473-05:00
922|922|2021-11-20-09:43:30.8224645-05:00
145|145|2021-11-20-09:43:30.8224899-05:00
922|922|2021-11-20-09:43:30.8225067-05:00
305|305|2021-11-20-09:43:30.8225228-05:00
922|922|2021-11-20-09:43:30.8225389-05:00
353|353|2021-11-20-09:43:30.8225644-05:00
261|261|2021-11-20-09:43:30.8225905-05:00
922|922|2021-11-20-09:43:30.8226186-05:00
876|876|2021-11-20-09:43:30.8226553-05:00
925|925|2021-11-20-09:43:30.8226743-05:00
925|925|2021-11-20-09:43:30.8227000-05:00
572|572|2021-11-20-09:43:30.8227184-05:00
791|791|2021-11-20-09:43:30.8227440-05:00
929|929|2021-11-20-09:43:30.8227794-05:00
187|187|2021-11-20-09:43:30.8228143-05:00
